,molecule_chembl_id,smiles,processed smiles,unique_char_ohe_matrix,pIC50
1526,CHEMBL3645801,CCc1ncnc(-c2ccc(C(=O)N3CC[C@H](O)C3)c(C)c2)c1C#Cc1ccc(N)nc1,,,7.273272791
1527,CHEMBL4165122,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2cccc(Cl)c2Cl)c1,,,7.271646218
1528,CHEMBL3643265,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.268572413
1529,CHEMBL3670225,Cc1ncnc(N2CCC(CC(=O)N(C)C)CC2)c1C#Cc1ccc(N)nc1,,,7.26760624
1530,CHEMBL2172635,COc1cnnc(Nc2cc(-c3c(Nc4cc[nH]n4)nc4cccnn34)nc(C)n2)c1,,,7.26760624
1531,CHEMBL4092654,CC1(C)OCCN(c2cc(-c3cc(Cl)c4c(N)ncnn34)ccc2C#N)C1=O,,,7.26760624
1532,CHEMBL2381278,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(C3CN(C(=O)C(C)(C)N)C3)ccc1-2,,,7.26760624
1533,CHEMBL1089140,CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3ccn(CCN(C)C)c3n2)cc1,,,7.26760624
1534,CHEMBL4437190,COc1ncc(-c2cc(OCCCCCCCC(=O)NO)c3ncnc(C)c3c2)cc1F,,,7.26760624
1535,CHEMBL3643419,COc1ncc(N2CCc3ncnc(N[C@H]4CCN(C(=O)[C@H]5CC[C@@H](OC)CC5)C4)c3C2)cc1C(F)(F)F,,,7.26760624
1536,CHEMBL1091358,CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(C4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,,,7.26760624
1537,CHEMBL1914729,COCCNc1cnc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)cc2n1,,,7.26760624
1538,CHEMBL2418947,CC(=O)Nc1nc2ccc(-c3cnc(N)nc3)cc2s1,,,7.26760624
1539,CHEMBL5207038,Cc1nc2cnc3ccc(-c4cnc5[nH]ccc5c4)cc3c2n1[C@@H](C)c1ccccc1,,,7.266802735
1540,CHEMBL4277571,COc1ccc(S(=O)(=O)Nc2cc(-c3ccc4nccc(=O)n4c3)cnc2OC)cc1,,,7.266802735
1541,CHEMBL3643212,CCc1ncnc(-c2ccc(C(=O)N3CCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.259637311
1542,CHEMBL3959351,Cc1ccc2c(c1)C(=O)N(C)c1cnc(Nc3cccc(S(=O)(=O)N4CCC(O)CC4)c3)nc1N2C,,,7.259637311
1543,CHEMBL1928718,Cc1ccc(F)cc1S(=O)(=O)N(C)/N=C/c1cnn2ccc(C#N)cc12,,,7.259637311
1544,CHEMBL4857826,Cc1ncc(-c2nc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)s1,,,7.259637311
1545,CHEMBL3648940,Cc1nc(N)nc2c1cc(-c1cnn(C)c1)c(=O)n2[C@@H]1CC[C@H](O)C1,,,7.259637311
1546,CHEMBL3643124,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.259637311
1547,CHEMBL1092039,C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)N4CCC(N(C)C)CC4)cc3)cc2)nc(N2CCOC[C@H]2C)n1,,,7.259637311
1548,CHEMBL3670258,CCc1ncnc(N2CCC3(CC2)COC3)c1C#Cc1ccc(N)nc1,,,7.259637311
1549,CHEMBL1097901,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)Nc1cccnc1,,,7.259637311
1550,CHEMBL3639690,CCc1ncnc(N2CCC(O)C(C)C2)c1C#Cc1ccc(N)nc1,,,7.259637311
1551,CHEMBL1910999,COc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,,,7.259637311
1552,CHEMBL1672316,Nc1ccc(-c2cc(Nc3cnc4ccccc4c3)nc(N3CCOCC3)n2)cn1,,,7.259637311
1553,CHEMBL591807,COc1ccc(CN2CCC(n3cnc4c(N5CCOCC5)nc(-c5cccc(O)c5)nc43)CC2)cn1,,,7.259637311
1554,CHEMBL3929875,COc1ccc(CN2CCC(c3ccn4cc(C(=O)N5CCN(Cc6ccc(C(F)(F)F)cc6)CC5)nc4c3)CC2)cn1,,,7.259637311
1555,CHEMBL3652260,Cc1nc(N)nc2c1cc(Br)c(=O)n2[C@H]1CC[C@H](OCCO)CC1,,,7.258060922
1556,CHEMBL4762993,O=S(=O)(c1ccccc1Cl)N1CCN(c2nc(NCCN3CCOCC3)nc(N3CCOCC3)n2)CC1,,,7.256647049
1557,CHEMBL4761702,CS(=O)(=O)N1CCN(Cc2cc3c(N4CCOCC4)nc(-c4cnc(N)cc4C(F)(F)F)nn3c2)CC1,,,7.256490235
1558,CHEMBL3327141,COc1ncc(-c2cnc3nc(N)nc(C)c3c2)cc1NS(=O)(=O)C1CC1,,,7.254925208
1559,CHEMBL3645821,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CCCS(C)(=O)=O)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.254144805
1560,CHEMBL2326954,CNc1ccc(-c2csc3c(=O)cc(N4CCOCC4)oc23)cc1,,,7.251811973
1561,CHEMBL3643415,COc1ncc(N2CCc3ncnc(N[C@H]4CCN(C(=O)C5CCOCC5)C4)c3C2)cc1C#N,,,7.251811973
